scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_actual_out,victim_min_out,victim_extra_loss,reverted,price_after_front,is_optimal
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,705.6018042567908,-4.197817982575543,973.4610845401407,977.2864540530907,13.696949856920583,1,0.9860566598267555,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,715.8279173619617,-4.258226096823023,973.2646782844876,977.2864540530907,13.89335611257377,1,0.9858567310043762,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,726.0540304671326,-4.318622018279825,973.0683314636875,977.2864540530907,14.089702933373815,1,0.9856568629810061,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,736.2801435723035,-4.37900575063702,972.8720440537617,977.2864540530907,14.285990343299659,1,0.9854570557319949,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,746.5062566774743,-4.439377297584429,972.6758160307439,977.2864540530907,14.482218366317397,1,0.9852573092327059,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,756.7323697826453,-4.499736662809823,972.4796473706796,977.2864540530907,14.678387026381756,1,0.9850576234585138,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,766.9584828878161,-4.56008385000041,972.2835380496266,977.2864540530907,14.874496347434729,1,0.9848579983848068,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,777.1845959929869,-4.620418862841007,972.0874880436544,977.2864540530907,15.07054635340694,1,0.9846584339869846,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,787.4107090981579,-4.680741705015407,971.8914973288448,977.2864540530907,15.266537068216508,1,0.9844589302404603,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,797.6368222033287,-4.741052380205588,971.6955658812917,977.2864540530907,15.462468515769615,1,0.9842594871206582,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,807.8629353084997,-4.8013508920925005,971.4996936771013,977.2864540530907,15.658340719960052,1,0.9840601046030168,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,818.0890484136705,-4.861637244355279,971.3038806923911,977.2864540530907,15.854153704670239,1,0.9838607826629854,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,828.3151615188414,-4.921911440671579,971.1081269032911,977.2864540530907,16.049907493770206,1,0.9836615212760266,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,838.5412746240123,-4.982173484717691,970.9124322859434,977.2864540530907,16.245602111117933,1,0.9834623204176152,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,848.7673877291832,-5.042423380168657,970.7167968165022,977.2864540530907,16.441237580559118,1,0.9832631800632384,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,858.9935008343541,-5.102661130697356,970.5212204711332,977.2864540530907,16.636813925928095,1,0.9830641001883957,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,869.219613939525,-5.162886739975875,970.3257032260146,977.2864540530907,16.83233117104669,1,0.9828650807685996,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,879.4457270446958,-5.223100211674705,970.1302450573364,977.2864540530907,17.027789339724904,1,0.982666121779374,0
